user id,gender,age,occupation,unknown,Action,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,unknown count,Action count,Adventure count,Animation count,Children's count,Comedy count,Crime count,Documentary count,Drama count,Fantasy count,Film-Noir count,Horror count,Musical count,Mystery count,Romance count,Sci-Fi count,Thriller count,War count,Western count
25,M,39,engineer,0,4.0,0,5.0,5.0,5.0,0,0,4.0,0,0,0,0,0,0,4.0,4.0,0,0,0,1,0,1,1,1,0,0,2,0,0,0,0,0,0,1,2,0,0
26,M,49,engineer,0,3.5,3.5,3.0,3.0,3.0,3.0,0,3.0,0,0,0,0,0,3.5,4.0,0,4.0,0,0,2,2,1,1,1,1,0,1,0,0,0,0,0,2,1,0,1,0
27,F,40,librarian,0,3.0,3.0,0,0,5.0,0,0,4.0,0,0,5.0,0,0,3.0,3.0,3.0,3.0,0,0,2,2,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0
28,M,32,writer,0,4.0,0,0,0,0,3.5,0,3.6666666666666665,0,0,0,0,0,0,0,3.75,4.0,0,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,4,1,0
29,M,41,programmer,0,4.0,0,0,0,0,4.5,0,4.0,0,0,0,0,0,0,0,4.5,4.0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,1,0
30,M,7,student,0,3.0,3.0,0,0,4.0,3.0,0,0,0,0,0,0,0,4.0,3.0,3.0,4.0,0,0,3,3,0,0,2,1,0,0,0,0,0,0,0,2,1,1,2,0
31,M,24,artist,0,0,0,0,0,4.0,0,5.0,5.0,0,0,0,0,0,0,5.0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0
32,F,28,student,0,4.0,4.0,0,0,3.0,0,0,3.5,0,0,0,0,0,3.5,4.0,0,4.0,0,0,1,1,0,0,1,0,0,2,0,0,0,0,0,2,2,0,1,0
33,M,23,student,0,3.6666666666666665,4.0,0,0,0,0,0,3.0,0,0,4.0,0,4.0,0,4.0,3.6666666666666665,3.5,0,0,3,1,0,0,0,0,0,1,0,0,1,0,1,0,2,3,2,0
34,F,38,administrator,0,0,0,0,0,1.0,0,0,3.0,0,0,2.0,1.0,0,0,0,2.0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,1,0,0,0,1,0,0
35,F,20,homemaker,0,3.0,3.0,0,3.0,3.0,0,0,2.0,0,0,0,0,0,0,2.0,2.0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,2,1,0,0
36,F,19,student,0,0,0,0,5.0,5.0,0,0,2.0,0,0,4.0,2.0,4.0,0,0,4.0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,2,0,0
37,M,23,student,0,4.666666666666667,5.0,0,0,0,0,0,4.0,0,0,0,0,0,5.0,4.666666666666667,0,5.0,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,1,3,0,1,0
38,F,28,other,0,0,5.0,0,5.0,5.0,0,0,5.0,0,0,0,0,0,5.0,0,0,5.0,0,0,0,2,0,2,2,0,0,2,0,0,0,0,0,2,0,0,1,0
39,M,41,entertainment,0,0,0,0,0,4.0,0,0,3.0,0,0,5.0,0,0,0,4.0,4.5,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,1,2,0,0
40,M,38,scientist,0,3.0,0,0,2.0,2.3333333333333335,0,0,3.0,0,0,0,0,0,0,0,3.0,3.0,0,0,1,0,0,1,3,0,0,1,0,0,0,0,0,0,0,1,1,0
41,M,33,engineer,0,4.5,5.0,0,0,0,4.0,0,3.5,0,0,0,0,0,5.0,4.5,4.0,5.0,0,0,2,1,0,0,0,1,0,2,0,0,0,0,0,1,2,1,1,0
42,M,30,administrator,0,5.0,5.0,5.0,5.0,5.0,0,0,4.0,0,0,0,0,0,0,3.0,4.0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,2,0,0
43,F,29,librarian,0,4.0,0,0,4.0,4.0,0,0,4.0,0,0,0,0,0,0,0,2.0,0,0,0,1,0,0,1,2,0,0,3,0,0,0,0,0,0,0,1,0,0
44,M,26,technician,0,3.5,3.0,4.0,4.0,4.0,3.0,0,4.5,0,0,0,0,0,0,5.0,0,4.0,0,0,2,1,1,1,1,1,0,2,0,0,0,0,0,0,1,0,1,0
45,M,29,programmer,0,4.0,4.0,0,0,5.0,3.0,0,3.0,0,0,0,0,0,5.0,4.0,0,5.0,0,0,2,2,0,0,1,1,0,1,0,0,0,0,0,1,2,0,1,0
46,F,27,marketing,0,4.0,4.0,0,0,4.0,4.0,0,4.0,0,0,0,0,0,4.0,4.0,4.0,4.0,0,0,1,1,0,0,1,1,0,3,0,0,0,0,0,2,1,1,1,0
47,M,53,marketing,0,0,0,0,0,4.0,0,0,4.0,0,0,0,0,0,3.0,4.0,0,3.0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,1,0,1,0
48,M,45,administrator,0,5.0,0,0,0,0,3.0,0,4.0,0,0,5.0,0,0,0,5.0,5.0,0,0,0,1,0,0,0,0,1,0,3,0,0,1,0,0,0,1,2,0,0
49,F,23,student,0,1.5,1.0,0,3.0,2.5,4.0,0,2.5,0,0,0,0,0,0,0,2.5,0,0,0,2,1,0,1,2,1,0,2,0,0,0,0,0,0,0,2,0,0
50,M,21,writer,0,0,0,0,0,0,2.0,0,2.25,0,0,0,0,1.0,4.0,0,2.0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,1,1,0,1,0,0
51,M,28,educator,0,5.0,5.0,0,0,5.0,0,0,3.0,0,0,0,0,0,5.0,5.0,0,5.0,0,0,1,1,0,0,1,0,0,2,0,0,0,0,0,2,1,0,1,0
52,F,18,student,0,5.0,0,0,0,5.0,0,0,5.0,0,0,0,0,0,0,5.0,0,5.0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,1,0
53,M,26,programmer,0,4.0,4.0,0,0,4.0,0,0,4.0,0,0,0,0,0,4.0,3.5,0,4.0,0,0,1,1,0,0,1,0,0,2,0,0,0,0,0,1,2,0,1,0
54,M,22,executive,0,1.0,1.0,4.0,4.0,4.0,1.0,0,4.0,0,0,0,0,0,0,4.0,0,0,0,0,1,1,1,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0
55,M,37,programmer,0,4.666666666666667,4.0,0,0,0,0,0,4.0,0,0,0,0,0,4.0,3.5,5.0,4.5,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0,1,2,1,2,0
56,M,25,librarian,0,5.0,0,0,0,4.0,4.0,0,5.0,0,0,0,0,0,0,0,4.5,5.0,0,0,2,0,0,0,1,1,0,2,0,0,0,0,0,0,0,2,1,0
57,M,16,none,0,0,0,5.0,4.5,4.5,3.0,0,4.0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,1,2,2,1,0,2,0,0,0,0,0,0,0,1,0,0
58,M,27,programmer,0,0,0,5.0,5.0,5.0,5.0,0,5.0,0,0,0,0,0,0,5.0,5.0,0,0,0,0,0,1,1,1,2,0,1,0,0,0,0,0,0,1,2,0,0
59,M,49,educator,0,4.0,0,2.0,2.0,3.0,0,0,4.0,0,0,0,0,0,0,0,4.0,0,0,0,1,0,1,1,2,0,0,2,0,0,0,0,0,0,0,1,0,0
60,M,50,healthcare,0,0,0,0,3.0,3.0,4.0,0,4.333333333333333,0,0,0,0,0,0,5.0,4.0,0,0,0,0,0,0,1,1,1,0,3,0,0,0,0,0,0,1,1,0,0
61,M,36,engineer,0,1.0,1.0,0,0,2.5,0,0,4.0,0,0,0,0,0,0,2.5,0,1.0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,2,0,1,0
62,F,27,administrator,0,0,0,2.0,2.0,3.0,0,0,4.0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,1,1,2,0,0,2,0,0,0,0,0,0,1,0,0,0
63,M,31,marketing,0,0,0,3.0,3.0,3.0,0,0,4.0,0,0,0,0,0,4.0,0,2.0,4.0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,1,0,1,1,0
64,M,32,educator,0,4.0,0,0,0,0,4.0,0,4.333333333333333,0,0,0,0,0,0,0,4.0,4.5,0,0,2,0,0,0,0,1,0,3,0,0,0,0,0,0,0,2,2,0
65,F,51,educator,0,0,0,3.0,3.0,3.5,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0
66,M,23,student,0,3.6666666666666665,4.0,0,0,0,3.0,0,4.0,0,0,0,0,0,5.0,4.0,0,4.0,0,0,3,2,0,0,0,1,0,1,0,0,0,0,0,1,2,0,2,0
67,M,17,student,0,4.5,4.5,0,0,4.0,4.0,0,0,0,0,0,0,0,0,0,5.0,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0
68,M,19,student,0,1.0,0,0,0,3.5,0,0,4.0,0,0,0,0,0,3.0,1.0,0,1.0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,1,1,0,1,0
69,M,24,engineer,0,4.5,5.0,0,0,5.0,0,0,5.0,0,0,0,0,0,5.0,5.0,4.0,5.0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,1,2,1,1,0
70,M,27,engineer,0,4.0,4.0,4.0,4.0,4.0,4.0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,0,2,0,0,0,0,0,0,0,0,0,0
71,M,39,scientist,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0
72,F,48,administrator,0,3.0,3.0,4.0,4.0,4.0,4.0,0,2.5,0,0,0,0,0,0,1.0,3.5,0,0,0,1,1,1,1,1,1,0,2,0,0,0,0,0,0,1,2,0,0
73,M,24,student,0,0,0,2.0,2.0,2.0,0,4.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0
74,M,39,scientist,0,3.0,0,0,0,4.0,0,0,3.6666666666666665,0,0,0,0,0,0,4.0,3.0,3.0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,2,1,1,0
75,M,24,entertainment,0,0,0,4.0,4.0,4.666666666666667,5.0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0
76,M,20,student,0,2.0,2.0,0,0,3.0,2.0,0,4.5,0,0,0,0,0,0,4.0,0,0,0,0,1,1,0,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0
77,M,30,technician,0,5.0,0,5.0,5.0,3.5,0,0,3.5,0,0,0,0,0,0,0,5.0,0,0,0,1,0,1,1,2,0,0,2,0,0,0,0,0,0,0,1,0,0
78,M,26,administrator,0,4.0,4.0,0,0,3.6666666666666665,0,0,4.5,0,0,0,0,0,5.0,4.0,0,0,0,0,1,1,0,0,3,0,0,2,0,0,0,0,0,1,1,0,0,0
79,F,39,administrator,0,0,0,4.0,4.0,3.0,0,0,4.0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,1,1,2,0,0,3,0,0,0,0,0,0,0,0,1,0
80,F,34,administrator,0,4.0,0,0,0,0,5.0,0,5.0,0,0,0,0,0,0,0,4.5,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,2,0,0
81,M,21,student,0,5.0,0,4.0,4.0,4.333333333333333,0,0,0,0,0,0,0,0,0,0,5.0,0,0,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0
82,M,50,programmer,0,0,0,4.0,4.0,4.0,0,0,3.5,0,0,0,0,0,0,3.0,2.0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,1,1,0,0
83,M,40,other,0,3.0,4.0,0,0,2.0,0,0,3.0,0,0,0,0,0,0,0,4.0,0,0,0,2,1,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0
84,M,32,executive,0,3.0,0,2.0,2.0,2.6666666666666665,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0
85,M,51,educator,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,4.0,0,4.0,4.0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,1,0
86,M,26,administrator,0,0,0,0,4.0,4.0,0,0,5.0,0,0,0,0,0,0,5.0,5.0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,1,1,0,0
87,M,47,administrator,0,3.6666666666666665,3.0,0,0,3.0,0,0,4.0,0,0,0,3.0,0,0,0,3.0,4.0,0,0,3,1,0,0,2,0,0,1,0,0,0,1,0,0,0,1,1,0
88,F,49,librarian,0,3.0,0,0,4.0,0,0,0,4.666666666666667,4.0,0,0,0,0,5.0,0,4.0,5.0,0,0,1,0,0,1,0,0,0,3,1,0,0,0,0,2,0,2,1,0
89,F,43,administrator,0,0,0,5.0,5.0,3.5,0,0,5.0,0,0,0,0,0,0,5.0,0,0,0,0,0,0,1,1,2,0,0,2,0,0,0,0,0,0,1,0,0,0
90,M,60,educator,0,0,0,0,5.0,5.0,0,0,4.0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,1,0
91,M,55,marketing,0,5.0,5.0,0,0,0,1.0,0,3.6666666666666665,0,0,0,0,0,5.0,5.0,5.0,5.0,0,0,2,1,0,0,0,1,0,3,0,0,0,0,0,1,1,1,3,0
92,M,32,entertainment,0,4.0,0,4.0,4.0,4.0,4.0,0,4.0,0,0,0,0,0,0,4.0,4.0,0,0,0,1,0,1,1,2,1,0,3,0,0,0,0,0,0,1,1,0,0
93,M,48,executive,0,3.0,3.0,5.0,5.0,5.0,0,0,4.0,0,0,0,0,0,4.0,3.0,3.0,3.0,0,0,2,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0
94,M,26,student,0,4.0,0,0,0,4.0,5.0,0,4.0,0,0,0,0,0,0,4.0,5.0,4.0,0,0,2,0,0,0,1,1,0,3,0,0,0,0,0,0,1,1,1,0
95,M,31,administrator,0,4.0,0,0,5.0,4.0,0,0,4.333333333333333,0,0,0,0,0,0,0,4.0,4.0,0,0,2,0,0,1,2,0,0,3,0,0,0,0,0,0,0,1,1,0
96,F,25,artist,0,0,0,0,0,2.0,5.0,0,5.0,0,0,0,0,0,3.0,5.0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,1,1,0,0,0
97,M,43,artist,0,4.0,4.0,4.0,4.0,4.5,0,0,5.0,0,0,0,0,0,5.0,4.0,5.0,5.0,0,0,1,1,1,1,2,0,0,1,0,0,0,0,0,1,1,1,1,0
98,F,49,executive,0,0,0,0,0,3.25,0,0,0,0,0,0,0,0,3.0,3.0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0
99,M,20,student,0,4.0,0,4.0,4.0,3.5,0,0,4.0,0,0,0,0,0,0,0,3.0,5.0,0,0,2,0,1,1,2,0,0,2,0,0,0,0,0,0,0,1,1,0
100,M,36,executive,0,3.0,3.0,0,0,4.0,0,0,3.5,0,0,0,0,0,0,3.3333333333333335,3.0,3.0,0,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,3,1,1,0
101,M,15,student,0,4.0,4.0,3.0,3.0,2.5,0,0,3.0,0,0,0,0,0,2.0,3.0,4.0,0,0,0,1,1,1,1,2,0,0,1,0,0,0,0,0,1,1,1,0,0
102,M,38,programmer,0,2.0,2.0,3.0,3.0,2.5,0,0,2.0,0,0,0,0,0,0,2.0,2.0,0,0,0,2,1,1,1,2,0,0,2,0,0,0,0,0,0,1,1,0,0
103,M,26,student,0,3.5,3.5,0,0,0,5.0,0,4.0,0,0,0,0,0,4.0,4.0,3.0,4.0,0,0,2,2,0,0,0,1,0,2,0,0,0,0,0,1,1,2,1,0
104,M,27,student,0,0,0,0,0,3.0,0,0,2.0,0,0,0,0,0,0,0,3.0,2.0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,0
105,M,24,engineer,0,2.0,2.0,0,0,4.0,0,0,5.0,0,0,0,0,0,0,3.0,3.5,2.0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,3,2,1,0
106,M,61,retired,0,0,0,0,0,4.0,4.0,0,4.0,0,0,0,0,0,4.0,0,4.0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,0,1,0,0
107,M,39,scientist,0,0,0,0,2.0,2.0,0,0,3.0,0,0,0,0,0,3.0,3.0,3.0,2.0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,2,1,1,1,0
108,M,44,educator,0,4.0,0,4.0,4.0,4.0,4.0,0,4.333333333333333,0,0,0,0,4.0,0,5.0,0,0,0,0,1,0,1,1,1,1,0,3,0,0,0,0,1,0,1,0,0,0
109,M,29,other,0,4.0,0,0,0,4.0,4.0,0,4.0,0,0,4.0,0,0,0,0,4.0,0,0,0,1,0,0,0,1,3,0,1,0,0,1,0,0,0,0,3,0,0
110,M,19,student,0,3.0,3.0,0,0,3.0,3.5,0,3.0,0,0,0,0,0,0,0,3.3333333333333335,3.0,0,0,2,2,0,0,1,2,0,1,0,0,0,0,0,0,0,3,1,0
111,M,57,engineer,0,0,0,0,0,0,5.0,0,3.6666666666666665,0,5.0,0,0,5.0,4.0,4.0,5.0,4.0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,1,1,1,1,1,0
112,M,30,salesman,0,4.0,0,0,0,3.0,0,0,4.0,0,0,0,0,0,0,3.0,4.0,4.0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,1,1,1,0
113,M,47,executive,0,5.0,5.0,0,0,3.0,0,0,3.0,0,0,0,0,0,5.0,4.0,0,5.0,0,0,1,1,0,0,1,0,0,2,0,0,0,0,0,1,2,0,1,0
114,M,27,programmer,0,0,0,0,0,0,3.0,0,3.6666666666666665,0,5.0,0,0,4.0,0,4.5,4.0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,1,0,2,2,0,0
115,M,31,engineer,0,4.0,0,0,0,4.5,0,0,4.666666666666667,0,0,0,0,0,0,5.0,5.0,0,0,0,1,0,0,0,2,0,0,3,0,0,0,0,0,0,1,1,0,0
116,M,40,healthcare,0,3.0,3.0,0,0,3.0,5.0,0,3.0,0,0,0,0,0,3.0,3.0,5.0,3.0,0,0,1,1,0,0,1,1,0,2,0,0,0,0,0,2,1,1,1,0
117,M,20,student,0,4.5,0,0,0,0,5.0,0,3.0,0,0,0,0,0,4.0,4.0,4.666666666666667,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,1,2,3,0,0
118,M,21,administrator,0,5.0,0,0,0,0,3.5,0,4.0,0,0,0,0,0,5.0,5.0,4.0,0,0,0,1,0,0,0,0,2,0,3,0,0,0,0,0,1,1,3,0,0
119,M,32,programmer,0,4.0,0,0,0,0,5.0,0,4.333333333333333,0,0,0,0,0,0,5.0,5.0,4.0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,1,1,1,0
120,F,47,other,0,3.5,3.5,4.0,4.0,4.0,0,0,4.0,0,0,0,0,0,4.0,4.0,3.0,4.0,0,0,2,2,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0
121,M,54,librarian,0,0,0,4.0,4.0,4.5,3.5,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0
122,F,32,writer,0,4.0,0,0,0,2.0,1.0,0,3.0,0,0,0,0,0,2.0,0,2.5,2.0,0,0,1,0,0,0,1,1,0,2,0,0,0,0,0,1,0,2,1,0
123,F,48,artist,0,0,0,0,0,0,0,0,4.25,0,0,0,0,0,5.0,0,4.0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0
124,M,34,student,0,3.0,0,3.0,3.0,3.0,0,0,3.6666666666666665,0,0,0,0,0,0,4.0,3.5,0,0,0,1,0,1,1,1,0,0,3,0,0,0,0,0,0,1,2,0,0
125,M,30,lawyer,0,3.0,3.0,0,4.0,3.0,0,0,4.0,0,0,0,3.0,0,3.0,0,3.0,0,0,0,1,1,0,1,4,0,0,1,0,0,0,1,0,1,0,1,0,0
126,F,28,lawyer,0,4.5,5.0,0,0,0,0,0,3.0,0,0,0,0,0,3.0,0,4.0,3.0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,1,0,1,1,0
127,M,33,none,0,4.75,4.75,0,0,0,0,0,0,0,0,0,0,0,4.0,4.75,0,4.0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0
128,F,24,marketing,0,5.0,0,0,0,3.3333333333333335,0,0,5.0,0,0,0,0,0,3.0,0,5.0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,1,0,1,0,0
129,F,36,marketing,0,3.0,0,0,0,4.0,4.0,0,5.0,0,4.0,0,0,4.0,5.0,0,3.5,5.0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,2,1,0
130,M,20,none,0,4.0,4.0,5.0,5.0,5.0,4.0,0,4.5,0,0,0,0,0,0,5.0,4.0,0,0,0,1,1,1,1,1,1,0,2,0,0,0,0,0,0,1,2,0,0
131,F,59,administrator,0,4.0,0,0,0,0,4.0,0,3.75,0,0,0,0,5.0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0,0
132,M,24,other,0,3.0,3.0,0,0,0,4.333333333333333,0,4.5,0,0,0,0,0,3.0,3.0,4.0,3.0,0,0,1,1,0,0,0,3,0,2,0,0,0,0,0,1,1,2,1,0
133,M,53,engineer,0,4.0,5.0,0,3.0,3.5,0,0,3.0,0,0,0,0,0,0,5.0,3.0,4.0,0,0,2,1,0,1,2,0,0,1,0,0,0,0,0,0,1,1,2,0
134,M,31,programmer,0,0,0,5.0,5.0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
135,M,23,student,0,0,0,0,0,0,3.6666666666666665,0,3.6666666666666665,0,0,0,0,0,4.0,3.0,3.3333333333333335,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,1,1,3,0,0
136,M,51,other,0,0,0,0,0,5.0,0,0,4.666666666666667,0,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0
